id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label
1,1,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[569, 415], [568, 542], [682, 556], [682, 423]]",cabinet door,0.571,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.237,141.0,114.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 3, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": ""sink"", ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.2619, 'oven': 0.2286, 'refrigerator': 0.3068, 'sink': 0.1185}","{'stove': 193.93, 'oven': 172.6, 'refrigerator': 353.19, 'sink': 340.37}",[],cabinet door
2,2,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[760, 472], [760, 563], [826, 571], [825, 476]]",cabinet door,0.498,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.5,99.0,66.0,"{""above"": null, ""below"": null, ""left"": 3, ""right"": 9, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": ""sink"", ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.4011, 'oven': 0.3627, 'refrigerator': 0.181, 'sink': 0.0737}","{'stove': 193.36, 'oven': 180.03, 'refrigerator': 338.62, 'sink': 250.58}",[],cabinet door
3,3,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[689, 466], [689, 555], [749, 563], [749, 470]]",cabinet door,0.509,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.617,97.0,60.0,"{""above"": null, ""below"": null, ""left"": 1, ""right"": 2, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""sink"", ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.3416, 'oven': 0.3029, 'refrigerator': 0.2363, 'sink': 0.073}","{'stove': 194.76, 'oven': 178.96, 'refrigerator': 345.21, 'sink': 299.05}",[],cabinet door
4,4,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[739, 167], [684, 174], [685, 280], [740, 278]]",cabinet door,0.392,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,2.018,113.0,56.0,"{""above"": null, ""below"": null, ""left"": 15, ""right"": 8, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.3566, 'oven': 0.382, 'refrigerator': 0.2919, 'sink': 0.1757}","{'stove': 155.55, 'oven': 141.06, 'refrigerator': 36.65, 'sink': 76.47}",[],cabinet door
5,5,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[856, 434], [855, 458], [900, 480], [901, 451]]",drawer,0.467,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.0,46.0,46.0,"{""above"": null, ""below"": null, ""left"": 10, ""right"": 13, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.4613, 'oven': 0.4352, 'refrigerator': 0.1002, 'sink': 0.0953}","{'stove': 184.99, 'oven': 173.08, 'refrigerator': 352.31, 'sink': 190.19}",[],drawer
6,6,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[286, 453], [195, 493], [199, 681], [264, 681], [289, 658]]",cabinet door,0.42,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,2.426,228.0,94.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""oven"", ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.1609, 'oven': 0.1003, 'refrigerator': 0.6249, 'sink': 0.4385}","{'stove': 289.4, 'oven': 323.79, 'refrigerator': 348.45, 'sink': 342.96}",[],cabinet door
7,7,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[429, 408], [392, 420], [394, 562], [431, 529]]",cabinet door,0.515,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,3.949,154.0,39.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": ""oven"", ""right"": null, ""top_left"": ""stove"", ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.1002, 'oven': 0.0624, 'refrigerator': 0.4794, 'sink': 0.2876}","{'stove': 216.51, 'oven': 148.17, 'refrigerator': 356.06, 'sink': 352.74}",[],cabinet door
8,8,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[807, 163], [749, 168], [752, 279], [810, 278]]",cabinet door,0.403,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.902,116.0,61.0,"{""above"": null, ""below"": null, ""left"": 4, ""right"": 11, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.408, 'oven': 0.4273, 'refrigerator': 0.2516, 'sink': 0.1736}","{'stove': 158.46, 'oven': 145.46, 'refrigerator': 44.54, 'sink': 94.54}",[],cabinet door
9,9,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[857, 470], [855, 578], [958, 681], [961, 527]]",cabinet door,0.412,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.991,211.0,106.0,"{""above"": 13, ""below"": null, ""left"": 2, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": ""sink"", ""top_right"": ""refrigerator"", ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.5003, 'oven': 0.4576, 'refrigerator': 0.1262, 'sink': 0.1578}","{'stove': 194.83, 'oven': 184.46, 'refrigerator': 306.56, 'sink': 221.63}",[],cabinet door
10,10,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[858, 468], [859, 467], [861, 467], [862, 466], [861, 465], [858, 465]]",cabinet door,0.342,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,0.75,3.0,4.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.4474, 'oven': 0.4195, 'refrigerator': 0.1162, 'sink': 0.083}","{'stove': 186.25, 'oven': 174.01, 'refrigerator': 349.08, 'sink': 197.86}",[],cabinet door
