id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label,most_close_to_anchors,description
198,1,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[368, 553], [245, 583], [248, 745], [373, 716]]",cabinet door,0.327,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.5,192.0,128.0,"{""above"": 209, ""below"": null, ""left"": 207, ""right"": 204, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.5347, 'coffee machine': 0.4959, 'oven': 0.5356, 'sink': 0.5615}","{'dish': 355.86, 'coffee machine': 353.32, 'oven': 350.77, 'sink': 345.58}",[],cabinet door,{},"Container id 1, is a ""cabinet door"" below the countertop."
199,2,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[709, 506], [712, 546], [799, 558], [802, 516]]",drawer,0.457,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,0.559,52.0,93.0,"{""above"": null, ""below"": 205, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.2563, 'coffee machine': 0.2137, 'oven': 0.2496, 'sink': 0.2726}","{'dish': 7.84, 'coffee machine': 4.28, 'oven': 357.18, 'sink': 345.94}",[],drawer,"{'dish': 2, 'coffee machine': 1, 'oven': 1, 'sink': 1}","Container id 2, is a ""drawer"" below the countertop. Additionally, it is the 2nd closest to the dish, the closest to the coffee machine, the closest to the oven, and the closest to the sink."
200,3,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[222, 576], [85, 591], [97, 779], [241, 745]]",cabinet door,0.333,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.301,203.0,156.0,"{""above"": 203, ""below"": null, ""left"": null, ""right"": 198, ""top_left"": 206, ""top_right"": 209, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.6276, 'coffee machine': 0.589, 'oven': 0.6288, 'sink': 0.6543}","{'dish': 355.13, 'coffee machine': 352.94, 'oven': 350.8, 'sink': 346.34}",[],cabinet door,{},"Container id 3, is a ""cabinet door"" below the countertop."
201,4,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[683, 506], [408, 506], [407, 543], [682, 545]]",drawer,0.379,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,0.141,39.0,276.0,"{""above"": null, ""below"": 204, ""left"": null, ""right"": 199, ""top_left"": null, ""top_right"": null, ""bottom_left"": 202, ""bottom_right"": 208}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.3875, 'coffee machine': 0.3453, 'oven': 0.3809, 'sink': 0.4008}","{'dish': 5.78, 'coffee machine': 3.32, 'oven': 358.76, 'sink': 351.08}",[],drawer,{},"Container id 4, is a ""drawer"" below the countertop."
202,5,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[408, 552], [414, 705], [545, 674], [541, 549]]",cabinet door,0.366,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.139,156.0,137.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 204, ""top_left"": null, ""top_right"": 201, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.4285, 'coffee machine': 0.3892, 'oven': 0.4287, 'sink': 0.455}","{'dish': 357.28, 'coffee machine': 354.19, 'oven': 350.93, 'sink': 344.51}",[],cabinet door,{},"Container id 5, is a ""cabinet door"" below the countertop."
203,6,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[232, 528], [83, 541], [82, 586], [232, 569]]",drawer,0.401,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,0.387,58.0,150.0,"{""above"": null, ""below"": 207, ""left"": null, ""right"": 209, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 198}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.6281, 'coffee machine': 0.587, 'oven': 0.6238, 'sink': 0.6435}","{'dish': 1.79, 'coffee machine': 0.06, 'oven': 357.46, 'sink': 352.72}",[],drawer,{},"Container id 6, is a ""drawer"" below the countertop."
204,7,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[683, 550], [411, 551], [414, 703], [682, 640]]",cabinet door,0.302,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,0.562,153.0,272.0,"{""above"": 201, ""below"": null, ""left"": 202, ""right"": 208, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.3842, 'coffee machine': 0.3448, 'oven': 0.3843, 'sink': 0.4111}","{'dish': 357.8, 'coffee machine': 354.38, 'oven': 350.72, 'sink': 343.62}",[],cabinet door,{},"Container id 7, is a ""cabinet door"" below the countertop."
205,8,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[714, 553], [710, 632], [802, 611], [796, 560]]",cabinet door,0.332,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,0.859,79.0,92.0,"{""above"": 199, ""below"": null, ""left"": 208, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.2539, 'coffee machine': 0.2141, 'oven': 0.2539, 'sink': 0.2835}","{'dish': 359.78, 'coffee machine': 354.64, 'oven': 349.05, 'sink': 338.88}",[],cabinet door,"{'dish': 1, 'coffee machine': 2, 'oven': 2, 'sink': 2}","Container id 8, is a ""cabinet door"" below the countertop. Additionally, it is the closest to the dish, the 2nd closest to the coffee machine, the 2nd closest to the oven, and the 2nd closest to the sink."
206,9,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[56, 546], [21, 557], [21, 593], [13, 607], [57, 593]]",drawer,0.383,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.386,61.0,44.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.7051, 'coffee machine': 0.6645, 'oven': 0.7017, 'sink': 0.722}","{'dish': 0.42, 'coffee machine': 358.8, 'oven': 356.56, 'sink': 352.36}",[],drawer,{},"Container id 9, is a ""drawer"" below the countertop."
207,10,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[229, 526], [81, 543], [97, 780], [242, 745]]",cabinet door,0.315,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.578,254.0,161.0,"{""above"": 203, ""below"": 200, ""left"": 206, ""right"": 198, ""top_left"": null, ""top_right"": 209, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.6259, 'coffee machine': 0.5867, 'oven': 0.6259, 'sink': 0.6503}","{'dish': 356.5, 'coffee machine': 354.41, 'oven': 352.16, 'sink': 347.63}",[],cabinet door,{},"Container id 10, is a ""cabinet door"" below the countertop."
