id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,description
1,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[569, 415], [568, 542], [682, 556], [682, 423]]",cabinet door,0.571,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.237,141.0,114.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 3, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": ""sink"", ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 1, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 1.237. Moreover, the order relation between this container and the others is: to the right of it there is the container id 3. Also, here is the order relation between this container and the anchors in the kitchen: to the right of it there is a sink."
2,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[760, 472], [760, 563], [826, 571], [825, 476]]",cabinet door,0.498,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.5,99.0,66.0,"{""above"": null, ""below"": null, ""left"": 3, ""right"": 9, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": ""sink"", ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 2, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 1.5. Moreover, the order relation between this container and the others is: to the left of it there is the container id 3, to the right of it there is the container id 9. Also, here is the order relation between this container and the anchors in the kitchen: above it there is a sink."
3,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[689, 466], [689, 555], [749, 563], [749, 470]]",cabinet door,0.509,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.617,97.0,60.0,"{""above"": null, ""below"": null, ""left"": 1, ""right"": 2, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""sink"", ""bottom_left"": null, ""bottom_right"": null}","Container id 3, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 1.617. Moreover, the order relation between this container and the others is: to the left of it there is the container id 1, to the right of it there is the container id 2. Also, here is the order relation between this container and the anchors in the kitchen: at the top-right of it there is a sink."
4,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[739, 167], [684, 174], [685, 280], [740, 278]]",cabinet door,0.392,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,2.018,113.0,56.0,"{""above"": null, ""below"": null, ""left"": 15, ""right"": 8, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 4, is a ""cabinet door"", it is above the countertop, and the ratio between its height and width is 2.018. Moreover, the order relation between this container and the others is: to the left of it there is the container id 15, to the right of it there is the container id 8."
5,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[856, 434], [855, 458], [900, 480], [901, 451]]",drawer,0.467,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.0,46.0,46.0,"{""above"": null, ""below"": null, ""left"": 10, ""right"": 13, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 5, is a ""drawer"", it is below the countertop, and the ratio between its height and width is 1.0. Moreover, the order relation between this container and the others is: to the left of it there is the container id 10, to the right of it there is the container id 13."
6,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[286, 453], [195, 493], [199, 681], [264, 681], [289, 658]]",cabinet door,0.42,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,2.426,228.0,94.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""oven"", ""bottom_left"": null, ""bottom_right"": null}","Container id 6, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 2.426. Also, here is the order relation between this container and the anchors in the kitchen: at the top-right of it there is a oven."
7,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[429, 408], [392, 420], [394, 562], [431, 529]]",cabinet door,0.515,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,3.949,154.0,39.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": ""oven"", ""right"": null, ""top_left"": ""stove"", ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 7, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 3.949. Also, here is the order relation between this container and the anchors in the kitchen: to the left of it there is a oven, at the top-left of it there is a stove."
8,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[807, 163], [749, 168], [752, 279], [810, 278]]",cabinet door,0.403,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.902,116.0,61.0,"{""above"": null, ""below"": null, ""left"": 4, ""right"": 11, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 8, is a ""cabinet door"", it is above the countertop, and the ratio between its height and width is 1.902. Moreover, the order relation between this container and the others is: to the left of it there is the container id 4, to the right of it there is the container id 11."
9,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[857, 470], [855, 578], [958, 681], [961, 527]]",cabinet door,0.412,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.991,211.0,106.0,"{""above"": 13, ""below"": null, ""left"": 2, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": ""sink"", ""top_right"": ""refrigerator"", ""bottom_left"": null, ""bottom_right"": null}","Container id 9, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 1.991. Moreover, the order relation between this container and the others is: above it there is the container id 13, to the left of it there is the container id 2. Also, here is the order relation between this container and the anchors in the kitchen: at the top-left of it there is a sink, at the top-right of it there is a refrigerator."
10,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[858, 468], [859, 467], [861, 467], [862, 466], [861, 465], [858, 465]]",cabinet door,0.342,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,0.75,3.0,4.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 10, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 0.75."
11,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[914, 161], [817, 169], [809, 320], [917, 320]]",cabinet door,0.371,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.472,159.0,108.0,"{""above"": null, ""below"": null, ""left"": 8, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": ""refrigerator""}","Container id 11, is a ""cabinet door"", it is above the countertop, and the ratio between its height and width is 1.472. Moreover, the order relation between this container and the others is: to the left of it there is the container id 8. Also, here is the order relation between this container and the anchors in the kitchen: at the bottom-right of it there is a refrigerator."
12,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[1023, 0], [985, 0], [958, 24], [966, 187], [1023, 161]]",drawer,0.418,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,2.877,187.0,65.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 12, is a ""drawer"", it is above the countertop, and the ratio between its height and width is 2.877."
13,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[906, 454], [907, 485], [962, 512], [962, 473]]",cabinet door,0.336,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.036,58.0,56.0,"{""above"": null, ""below"": 9, ""left"": 5, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""refrigerator"", ""bottom_left"": null, ""bottom_right"": null}","Container id 13, is a ""cabinet door"", it is below the countertop, and the ratio between its height and width is 1.036. Moreover, the order relation between this container and the others is: below it there is the container id 9, to the left of it there is the container id 5. Also, here is the order relation between this container and the anchors in the kitchen: at the top-right of it there is a refrigerator."
14,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[822, 130], [672, 142], [684, 285], [811, 282]]",cabinet door,0.319,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.033,155.0,150.0,"{""above"": null, ""below"": null, ""left"": 4, ""right"": 8, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 14, is a ""cabinet door"", it is above the countertop, and the ratio between its height and width is 1.033. Moreover, the order relation between this container and the others is: to the left of it there is the container id 4, to the right of it there is the container id 8."
15,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[673, 177], [590, 183], [591, 319], [678, 319]]",cabinet door,0.302,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.614,142.0,88.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 4, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","Container id 15, is a ""cabinet door"", it is above the countertop, and the ratio between its height and width is 1.614. Moreover, the order relation between this container and the others is: to the right of it there is the container id 4."
