id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label,most_close_to_anchors,description
42,1,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[807, 492], [803, 651], [817, 665], [869, 662], [868, 514]]",cabinet door,0.505,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,2.621,173.0,66.0,"{""above"": null, ""below"": null, ""left"": 48, ""right"": 64, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.6844, 'stove': 0.5539, 'oven': 0.5425, 'electronic kettle': 0.5025, 'toaster': 0.4885, 'sink': 0.2763, 'dish rack': 0.6318, 'microwave': 0.2395}","{'coffee machine': 191.5, 'stove': 188.62, 'oven': 190.47, 'electronic kettle': 174.59, 'toaster': 175.98, 'sink': 205.63, 'dish rack': 190.86, 'microwave': 190.74}",[],cabinet door,{},Container 1: cabinet door below the countertop
43,2,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[91, 47], [90, 123], [163, 157], [163, 96]]",cabinet door,0.406,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.507,110.0,73.0,"{""above"": null, ""below"": null, ""left"": 61, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": 46, ""bottom_right"": 63}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2846, 'stove': 0.3279, 'oven': 0.3146, 'electronic kettle': 0.4641, 'toaster': 0.454, 'sink': 0.4449, 'dish rack': 0.2914, 'microwave': 0.5063}","{'coffee machine': 107.01, 'stove': 83.04, 'oven': 80.14, 'electronic kettle': 79.18, 'toaster': 77.27, 'sink': 40.51, 'dish rack': 96.52, 'microwave': 45.94}",[],cabinet door,{},Container 2: cabinet door above the countertop
44,3,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[712, 437], [708, 544], [735, 575], [736, 452]]",cabinet door,0.42,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,4.929,138.0,28.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": 53, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 48}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.5819, 'stove': 0.4561, 'oven': 0.4424, 'electronic kettle': 0.4277, 'toaster': 0.4116, 'sink': 0.1627, 'dish rack': 0.5304, 'microwave': 0.1477}","{'coffee machine': 185.67, 'stove': 180.52, 'oven': 182.55, 'electronic kettle': 162.83, 'toaster': 164.05, 'sink': 194.47, 'dish rack': 184.34, 'microwave': 166.6}",[],cabinet door,{},Container 3: cabinet door below the countertop
45,4,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[322, 462], [306, 474], [307, 561], [326, 540]]",cabinet door,0.386,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,4.95,99.0,20.0,"{""above"": 65, ""below"": null, ""left"": 67, ""right"": null, ""top_left"": null, ""top_right"": 62, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2484, 'stove': 0.1175, 'oven': 0.1061, 'electronic kettle': 0.1389, 'toaster': 0.1212, 'sink': 0.1874, 'dish rack': 0.1954, 'microwave': 0.1973}","{'coffee machine': 194.83, 'stove': 184.97, 'oven': 194.03, 'electronic kettle': 120.1, 'toaster': 117.93, 'sink': 345.57, 'dish rack': 193.68, 'microwave': 8.22}",[],cabinet door,{},Container 4: cabinet door below the countertop
46,5,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[0, 90], [0, 353], [71, 351], [75, 128]]",cabinet door,0.312,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,3.507,263.0,75.0,"{""above"": 61, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": 43, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""coffee machine"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": ""dish rack""}","{'coffee machine': 0.1685, 'stove': 0.2497, 'oven': 0.2432, 'electronic kettle': 0.3877, 'toaster': 0.3816, 'sink': 0.453, 'dish rack': 0.1904, 'microwave': 0.5001}","{'coffee machine': 92.78, 'stove': 62.62, 'oven': 57.98, 'electronic kettle': 65.26, 'toaster': 62.68, 'sink': 24.13, 'dish rack': 77.25, 'microwave': 31.34}",[],cabinet door,{},"Container 5: cabinet door above the countertop, located above the coffee machine, and at the top-left of the dish rack."
47,6,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[161, 517], [93, 557], [93, 607], [160, 564]]",drawer,0.425,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,1.324,90.0,68.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": 50, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": ""sink"", ""top_left"": null, ""top_right"": ""stove"", ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.1354, 'stove': 0.0666, 'oven': 0.0875, 'electronic kettle': 0.1163, 'toaster': 0.1187, 'sink': 0.35, 'dish rack': 0.0954, 'microwave': 0.3524}","{'coffee machine': 232.07, 'stove': 306.62, 'oven': 307.99, 'electronic kettle': 41.45, 'toaster': 32.55, 'sink': 345.11, 'dish rack': 249.72, 'microwave': 357.55}",[],drawer,"{'coffee machine': 1, 'stove': 1, 'oven': 1, 'electronic kettle': 2, 'dish rack': 1}","Container 6: drawer below the countertop, located to the left of the sink, and at the bottom-left of the stove."
48,7,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[740, 489], [741, 584], [798, 644], [797, 523]]",cabinet door,0.36,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,2.672,155.0,58.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 42, ""top_left"": 44, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.6266, 'stove': 0.4973, 'oven': 0.4852, 'electronic kettle': 0.4539, 'toaster': 0.4391, 'sink': 0.2152, 'dish rack': 0.5742, 'microwave': 0.1827}","{'coffee machine': 189.72, 'stove': 186.05, 'oven': 188.05, 'electronic kettle': 170.11, 'toaster': 171.5, 'sink': 204.4, 'dish rack': 188.86, 'microwave': 184.4}",[],cabinet door,{},Container 7: cabinet door below the countertop
49,8,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[677, 419], [676, 516], [693, 530], [694, 428]]",cabinet door,0.35,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,6.167,111.0,18.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 53}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.5487, 'stove': 0.4252, 'oven': 0.4106, 'electronic kettle': 0.4061, 'toaster': 0.3893, 'sink': 0.1272, 'dish rack': 0.4978, 'microwave': 0.1265}","{'coffee machine': 183.51, 'stove': 177.34, 'oven': 179.41, 'electronic kettle': 158.3, 'toaster': 159.39, 'sink': 187.56, 'dish rack': 181.87, 'microwave': 152.63}",[],cabinet door,{},Container 8: cabinet door below the countertop
50,9,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[85, 564], [0, 608], [0, 666], [28, 654], [23, 641], [51, 639], [87, 615]]",drawer,0.39,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,1.172,102.0,87.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": 47, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.1616, 'stove': 0.156, 'oven': 0.1769, 'electronic kettle': 0.1616, 'toaster': 0.1732, 'sink': 0.4358, 'dish rack': 0.1493, 'microwave': 0.4306}","{'coffee machine': 266.32, 'stove': 316.22, 'oven': 315.76, 'electronic kettle': 8.0, 'toaster': 3.11, 'sink': 340.65, 'dish rack': 285.46, 'microwave': 350.71}",[],drawer,"{'coffee machine': 2, 'dish rack': 2}",Container 9: drawer below the countertop
51,10,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[424, 462], [449, 452], [465, 420], [490, 415], [494, 404], [513, 406], [515, 384], [429, 383]]",cabinet door,0.311,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,0.868,79.0,91.0,"{""above"": 57, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.3711, 'stove': 0.2569, 'oven': 0.2394, 'electronic kettle': 0.2817, 'toaster': 0.2633, 'sink': 0.0595, 'dish rack': 0.3222, 'microwave': 0.1241}","{'coffee machine': 177.81, 'stove': 164.74, 'oven': 167.44, 'electronic kettle': 135.34, 'toaster': 135.4, 'sink': 31.5, 'dish rack': 174.38, 'microwave': 58.64}",[],cabinet door,{},Container 10: cabinet door below the countertop
